ms	required_at
ms-41385	878
ms-15284	908
ms-28467	908
ms-37691	908
ms-53154	2825
ms-10207	4411
ms-25004	7759
ms-20383	22927
ms-28050	22927
ms-51863	22927
ms-51682	24514
ms-5182	48229
ms-21093	70172
ms-69235	70172
ms-40139	73197
ms-45753	73197
ms-2842	74950
ms-15266	79506
ms-57018	79506
ms-28737	109058
ms-42200	109058
ms-63512	135534
ms-37235	139296
ms-11154	139389
ms-48713	153922
ms-73263	153922
ms-1278	171811
ms-25557	171811
ms-36285	171811
ms-66857	171811
ms-9076	171811
ms-27421	205541
ms-68906	205541
ms-8237	205541
ms-13386	208165
ms-44724	209474
ms-52149	223850
ms-5075	275820
ms-37503	293527
ms-42253	293527
ms-795	293527
ms-63682	338853
ms-67767	369944
ms-18473	409303
ms-52059	443834
ms-40967	449362
ms-3386	490168
ms-16735	531308
ms-6190	534194
ms-15934	570569
ms-7092	783895
ms-25973	792748
ms-27990	792748
ms-16235	837091
ms-25409	852172
ms-68630	857576
ms-48716	873145
ms-13897	895456
ms-35501	999673
ms-23612	1024104
ms-49162	1024104
ms-57541	1024104
ms-19585	1069857
ms-71910	1155422
ms-39057	1260045
ms-44585	1260045
ms-52106	1260045
ms-57649	1260045
ms-10916	1276840
ms-55085	1276840
ms-62568	1276840
ms-63434	1276840
ms-47353	1442152
ms-70648	1875356
ms-14728	1885294
ms-16475	1885294
ms-55238	1885294
ms-70153	1885294
ms-27342	1920364
ms-71844	1920364
ms-32135	2235156
ms-54249	2235156
ms-61372	2235156
ms-37575	2457409
ms-37027	2932847
ms-13825	3098300
ms-500	3098300
ms-6142	3098300
ms-71843	3207473
ms-48061	3238171
ms-47970	3319233
ms-56325	3319233
ms-67488	3319233
ms-69823	3319233
